127.0.0.1 - - [06/Sep/2023:12:58:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:41 +0900] "GET /myHTML/sample/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:41 +0900] "GET /myHTML/images/Bulbasaur.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:41 +0900] "GET /myHTML/sample/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:37:33 +0900] "GET /myHTML/default.html HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:37:33 +0900] "GET /myHTML/images/logo.png HTTP/1.1" 200 5320
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:37:33 +0900] "GET /myHTML/default.html HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:38:21 +0900] "GET /myHTML/default.html HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:38:21 +0900] "GET /myHTML/default.html HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:44:06 +0900] "GET /myHTML/default.html HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:44:06 +0900] "GET /myHTML/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:44:06 +0900] "GET /myHTML/images/facebook.gif HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:44:06 +0900] "GET /myHTML/images/twitter.gif HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:44:07 +0900] "GET /myHTML/default.html HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:44:13 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:44:13 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:44:13 +0900] "GET /favicon.ico HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:46:20 +0900] "GET /myHTML/default.html HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:46:20 +0900] "GET /myHTML/default.html HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:47:30 +0900] "GET /myHTML/css/NewFile.css HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:47:31 +0900] "GET /myHTML/css/NewFile.css HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:47:37 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:47:37 +0900] "GET /myHTML/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:47:37 +0900] "GET /myHTML/images/facebook.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:47:37 +0900] "GET /myHTML/images/twitter.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:47:37 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:49:29 +0900] "GET /myHTML/css/NewFile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:49:29 +0900] "GET /myHTML/css/NewFile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:49:33 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:49:33 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:51:00 +0900] "GET /myHTML/default.html HTTP/1.1" 200 1302
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:51:00 +0900] "GET /myHTML/images/facebook.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:51:00 +0900] "GET /myHTML/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:51:00 +0900] "GET /myHTML/images/twitter.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:51:00 +0900] "GET /myHTML/default.html HTTP/1.1" 200 1302
